Caloocan City,54.8,29.3,31.85,48
Las Piñas City,59.1,29.3,41.05,47
Makati City,59.7,35,56.875,45
Malabon City,56.8,31.4,36.275,48
Mandaluyong City,64.9,29.5,31.175,51
Marikina City,59.1,30.8,37.125,49
Muntinlupa City,51.4,25.2,48.05,41
Navotas City,50.9,25.3,32.525,44
Parañaque City,56.1,26.1,42.25,44
Pasig City,48.7,29.9,43.925,43
San Juan City,57.6,39.5,40.3,51
Valenzuela City,47,26,44.6,41
Pasay City,61.4,29.9,38.425,48
Pateros,45.2,34.2,48.775,43
Quezon City,49.7,26.4,41.025,43
Taguig City,51,26.7,41.925,43
Manila City,86.2,38.2,6.4,68